tournamentName,tournamentDate,gameNumber,blackPlayerName,blackPlayerRank,whitePlayerName,whitePlayerRank,result,resultDetail,transcript,comment
Antwerpen Open,2014/01/01,1,Kortendijk Albert,,Schotte Tom,,A,,f5f6e6f4e3c5c4e7c6e2f3g4g5d6d7g6f8d3g3c3c2b4d2f7b5d1b3f2h5a3h4a4h6c1g8h3h2g7g2d8g1h1c8e8h8h7c7b6e1f1b2a2a1b1a5a6a7b7b8a8,
Antwerpen Open,2014/01/01,2,Schotte Tom,,Reunes Nick,,A,,f5d6c3d3c4f4f6f3e6e7c6g6e8c5b4f7h6b5f8e3b3a4a3a2g5c2c1b6a6b2g4b1f2d1e2g3d2e1f1h5h3g1a1a5h1h7h4g7g2h2h8d7d8c7c8g8b7a7a8b8,
Antwerpen Open,2014/01/01,3,Schotte Tom,,Praseptyo Linda,,A,,f5d6c4d3c5f4e3c3d2c2b3b4e6e2f3f2f1g4b6c6d7g6g5a4h4h6g3f7e7f6h5f8d8a6b5c8c7h3a5e1d1c1b1e8g1g7a3a2h8b8h7g2b2g8a8a1b7a7h2h1,
Antwerpen Open,2014/01/01,4,Schotte Tom,,Sneek Marcel,,A,,f5d6c3d3c4f4e3f3g4g5g3e2f2c2h6b5b4c5e1h5d2h3e6f6c6a3b6d7a6a4e7c1d1b3c8c7a5a7b1h2f7g6b8g1f1a1a2f8b7d8a8b2e8g2h1h7g8g7h4h8,
Antwerpen Open,2014/01/01,5,de Graaf Jan C.,,Schotte Tom,,A,,f5d6c4g5c6c5d7d3b4c3e3b5a4a6b6c7f4f2f6e8d8c8c2d2e7f3e2b3e6a7g4f8a3d1c1b1h4g3h3e1f1g1g2h1h2a2a1b2b8a8a5g6h5b7h7g7h6h8f7g8,
Antwerpen Open,2014/01/01,6,Schotte Tom,,May Michael,,A,,f5d6c3d3c4f4e3f3g4e2d2h4f6c1e6c5c6c2e1f1g1f2g5d1b1h6g3e7d7d8c7f7c8b8h3h5h7g6e8f8g7g2h1h2b6a6b5b3b4a5b2b7a8a7a3a4a2a1h8g8,
Antwerpen Open,2014/01/01,7,Fransen Martin,,Schotte Tom,,A,,f5f6e6f4g5e7f7d6d8h6c6g6g4f8h4c7c8h3h2b6a5d7c3h5h7c4c5b3a3c2d1b5f3c1b1a4b7a6d3e2d2a8b4e1f1e3b2g2g3f2e8g7h1b8h8g8a7g1a2a1,
Australian National,2014/01/01,1,Vinar Matt,,Hughes Scott,,A,,f5d6c3f4f6d3f3b3c7d7c6b5c4c5d2e6b4a3f7c8a4a5e7c2a6a7b6f8c1g8e8d8b7g6g5h4h6e3e2f1b2h5h3b8g4a8e1b1h7d1a1a2g1g2f2g3h2h1g7h8,
Beijing Open,2014/01/01,1,Hu Yingchong,,Song Yan,,A,,f5f6e6f4g5e7d7g6g4h5e3d6c6c4e8f7c7g3c3f3b4e2h6d3c5c8d2b6a6d1c2f2f8a5a3a4b5c1b3d8b8h7h4h3g1e1g2g7b7b2b1f1h1h2h8g8a8a7a1a2,
Belarus Championship,2014/01/01,1,Panasiuk Alexander,,Khlebnikau Uladzimi,,A,,f5f6e6f4e3c5c4e7b5e2f2d2f3g4g5d6h3c6d3b6f7g6e8h6h4g3d7c3b4a6a4c7h5h2b3a3d1c8a2h7d8c1e1a5a7b7a8b8b1c2g2h1b2a1g7h8g8f8g1f1,
British Nationals,2014/01/01,1,Pridmore Ben,,Plowman Guy,,A,,f5d6c3d3c4f4c5b4b5c6e3f3b6a5g4c2a4a3a6b3a2e2d2f2c1e6g3d1e1g6g5f6c7d7f7e7h6b8f8b7e8d8b1g8a8a7c8a1h8b2g7h3g2h1g1f1h2h4h5h7,
Campionati Italiani,2014/01/01,1,Marconi Francesco,,Borassi Michele,,A,,f5d6c3d3c4f4f6g5c6e3e6d7e2e7f3c5b6b4b5c7g4a6h6a5g6b3a3h3h4g3f2g2a4h5f7e8g8a2c8h7h1d8f8b7a8b8a7h8g7d2a1d1f1e1h2g1c1b2b1c2,
Campionati Italiani,2014/01/01,2,Borassi Michele,,Marconi Francesco,,A,,f5f6e6f4g6d6e3d3g4e2g3e7c6f7c5f3g5c4d7h3c3c7e1b6f2h6d2h5h4b5f8e8d8c8b8b4g8g7h8h7b3c2a3a4a7a6a5b2a1a2b1a8b7g1c1h2h1g2f1d1,
Campionati Italiani,2014/01/01,3,Marconi Francesco,,Borassi Michele,,A,,f5d6c3d3c4f4f6g5c6e3e6d7e2e7f3c5b6b4b5c7g4h3a5a6g6h6g7g3f7h8f8d8c8b8h4h5h7e1d2f2a7a4b3a8b7c1g2h1h2e8d1g8g1f1c2a3b1a1b2a2,
Campionati Italiani,2014/01/01,4,Di Mattei Alessandr,,Barnaba Donato,,A,,f5d6c3d3c4f4f6g5e6d7c7c5f7e7e3b4c6b5b6b3a4a3a5a6f8e8d8f2e2f1c2c1d2f3g6h6h4g7e1d1h8h5g3g4h3g2a2a1h1h2h7g8g1b8b1b2c8b7a7a8,
Campionati Italiani,2014/01/01,5,Borassi Michele,,Di Mattei Alessandr,,A,,f5d6c3d3c4f4f6f3e6e7f7c5e3e2g3b4g5g6d8h5b5b3h4f2h6b6c6c2a3c7a6d7b2b7c1a4a5e8f8b8e1h3a8h7g7d2g2a7c8g1f1d1h1b1h2h8g8g4a2a1,
Campionati Italiani,2014/01/01,6,Di Mattei Alessandr,,Borassi Michele,,A,,f5d6c3d3c4f4f6g5e6d7c7g6e3c5c6b6f7b5g3f3b4d8g4f2d2a3a5h4e8f8c8e2e1c1d1f1g8b7h5h6h2a4a2b3c2e7a8b8a7h8a6b1b2a1h7h3g1g2h1g7,
Campionati Italiani,2014/01/01,7,Barnaba Donato,,Di Mattei Alessandr,,A,,f5f6e6f4g5d6d7e7f3g6g4f7f8h3g3e8d8h4h6h5h2g7e3d3c4c3e2c5c6c8b8c7b3b4a4d2c1e1f2b5a5c2b1b6h8h7a6h1b7f1g8d1g1g2b2a1a2a3a7a8,
Campionati Italiani,2014/01/01,8,Borassi Michele,,Barnaba Donato,,A,,f5d6c3d3c4f4f6g5e3f3g6e2h5c5g4g3f2e1h2d2c2b3c1d1f1b4b1g2a3h4e6c6a4b5a6d7c7f7d8c8b8a5b2a1a2e7h1g1g8b6b7a8a7e8f8h7h3h8g7h6,
Campionati Italiani,2014/01/01,9,Di Mattei Alessandr,,Borassi Michele,,A,,f5d6c3d3c4f4f6g5e6d7e3c5f7e7e8d8c8c7b5b4c6f8g8f2e2a5g6b3h5f3g3f1d2g4h3c1g2g7a4h6h4c2a6a3g1b6a2b2a7h2h1b7a8b8h7h8e1d1b1a1,
Campionati Italiani,2014/01/01,10,Marconi Francesco,,Di Mattei Alessandr,,A,,f5f6e6f4f3c5c6e3c4e7d3f2g3c3g4e2d2c2d6g5d7g6f8b4f7h3h4h6h5e8d8b5a5c7b6c8a3g8g7h8h7a4b7a8b8a6g1e1a7a2b3b2a1c1b1d1f1g2h1h2,
Campionati Italiani,2014/01/01,11,Ortiz Georges,,Di Mattei Alessandr,,A,,f5d6c4g5f6f4f3d3c3e3e6c5g4h4e2f2g3d1h3h5h6b4c7g6h7d7e1c2c1d2b1e7b3a3c8d8e8f8g8f7b6c6a5a4g7g1b5h8b2h2a2b7a6b8g2a1a7a8f1h1,
Campionati Italiani,2014/01/01,12,Di Mattei Alessandr,,Sperandio Roberto,,A,,f5f6e6f4g6c6f3e7d7g3h3g5d6e3c5c4f8h6c3d8d3f7g4h4h5h2g8e8c8f2d2e2c2b3e1f1d1c7a3g2b4a4a5b6b8b7a6a8b5c1a7h8h1g1b1b2h7g7a2a1,
Campionati Italiani,2014/01/01,13,Di Mattei Alessandr,,Pace Alessandro,,A,,f5d6c3d3c4f4f6f3e6e7d7c5c6g6f8c7c8b5b4d8e8b6a5a3e3f7a4e2g8d2h6c2b3a6b2b1a1a2g5h5h4h7h8g7a7b7e1c1b8d1g4g3a8f1f2g1h3g2h2h1,
Campionati Italiani,2014/01/01,14,Marconi Francesco,,Borassi Michele,,A,,f5d6c3d3c4f4f6b4f3e6e3f2d2g5g6g4h4h5h6g3h3c1d1e2e1b3c2f1a5a4b5f7c5a6a3b6f8c6c7a2b2c8e7e8d8d7b8b7g2g1h2h1a7a8g8g7h7h8b1a1,
Campionati Italiani,2014/01/01,15,Borassi Michele,,Sperandio Roberto,,A,,f5f6e6f4g6c6g5d6f3e7c5g4f7d7e8h5c8c4b6f2b5f8b3h6g7c7d8b4g8a5d3c3c2e2d2a2e3a6e1f1g1c1g2g3h3h4d1h8b7a8h7b8a7h1h2a3a4a1b2b1,
Campionati Italiani,2014/01/01,16,Borassi Michele,,Ilacqua Gianluca,,A,,f5f6e6f4g6c5g4g5h4h6f3e3c3d3g3b3c6c7c4b5b4e7h5h3f7d7d6b6e8h7a5a6a7f8a2a3g8b7a8a1b8c8d8g7f2e1h8d2a4e2g2h2g1f1h1b2c1d1c2b1,
Campionati Italiani,2014/01/01,17,Borassi Michele,,Pace Alessandro,,A,,f5d6c5f4e3c6d3f6e6d7e7f3c4c7d8b5b4c2c3d2a5b6g6a3a4a6b3f8e8c8f7g5g7b2a1a2a7h8b1c1g8h5d1g4b7a8b8e1f1e2f2g1h3h4h6g3h2g2h1,
Campionati Italiani,2014/01/01,18,Diodati Pier Dario,,Borassi Michele,,A,,f5d6c3d3c4f4f6b4f3e6e3f2d2g5g6g4h5f7h6g3f8h4h3e2e1c1d1c2e7g7c7c6c5d8h8f1d7b6a4e8b3c8a6a3a5b5a2g8b2a1b8a7b1h7b7a8g1h1h2g2,
Campionati Italiani,2014/01/01,19,Ortiz Georges,,Marconi Francesco,,A,,f5f6e6f4g5e7f7h5d3c6e3d6g4g6e8c3c4c5d7c7b8c8d8g8h4h3g3d2h6h7b5a6b6g7a4h2d1e2f3a7a5a3f2c1g2g1f1b7h1b4a8e1a2b3c2f8h8b2a1b1,
Campionati Italiani,2014/01/01,20,Marconi Francesco,,Sperandio Roberto,,A,,f5f6e6f4f3c5c6e3c4e7d3f2g3e2g4g5d6c2h6c3d2e1f1b5b4h3h5h4h2d1b3g1b1a5b2d7c1a1a4a2a3b6g6g2f8e8c7c8d8g7h8g8f7h7h1b8b7a8a7a6,
Campionati Italiani,2014/01/01,21,Tucci Alessandro,,Marconi Francesco,,A,,f5f6e6f4e3c5c4e7g4g3g5f3d7d6f2h5h3d3e2c7b6c3c6b5b3a5d8d2b4c2e1e8d1c8h6h7f7f1g1b1f8g8a7a6a4g6g7a3b2a8b8b7h8h4a2a1c1h1g2h2,
Campionati Italiani,2014/01/01,22,Marconi Francesco,,Diodati Michele,,A,,f5f6e6f4f3c5c6d6e7d7c3c7g3e3d3g4g6g5c4h6f7f8e8e2f2d2h3h4d1f1b4a4b3b6a5a6b5d8c2a3b8b1g2g8c1e1g1h1h2c8h8b2a1a2a7b7a8h7g7h5,
Campionati Italiani,2014/01/01,23,Ilacqua Gianluca,,Marconi Francesco,,A,,f5f6e6f4g5e7e3f3c5h5g4d2d7d6e8c6f7g6c4f8b5c3h6c8d8b3h4g7g3h7h8g8b4d3c2a4e1a6a3e2a5a2f1c1f2d1b1h3h2g2h1g1b2a1b8b6c7a8a7b7,
Campionati Italiani,2014/01/01,24,Tucci Alessandro,,Ilacqua Gianluca,,A,,f5f6e6f4g5e7e3f3d3h6g4c6d6c5g6g3f7h3f2e2d8c2c4b5c7h5b3c3b6d2a5a3d1f1e1d7e8c1h4a6a4b4b2c8g1b1a1a2g2h1h2f8b7a8a7h7h8g8g7b8,
Campionati Italiani,2014/01/01,25,Privitera Francesco,,Caviola Leonardo,,A,,f5d6c4d3c3f4c5b5b4g6f3f2g4c6d7e6c7b6g5f6e7f7g3a4b3f8e8d2a3a5h6c2a6d8c8b8f1h4h3h5c1e1d1e2e3b2g7h8a2h7g8b7a7h2g2h1g1b1a8a1,
Campionati Italiani,2014/01/01,26,Caviola Leonardo,,Privitera Francesco,,A,,f5f6e6f4e3c5g5d6g6g4d3f3f7f2c3c4e2e1h3d2c2b3e7h4h5d1g3e8d8c8d7h6f1h2c1f8b5a5b4a4a6a7b6g2g8h8h7g7c6b2h1g1a2b7a3a1b1c7b8a8,
Campionati Italiani,2014/01/01,27,Privitera Francesco,,Vecchi Maria Serena,,A,,f5d6c4f4c5d3e3f3g4e6f6g5d2b5g6f7e7h3e2h6g3b4c3f2e1b3f8d8c2c1c6d7e8f1d1g8b6a6c7c8h5h4b7b8a8a7h8g2h1g1h7g7h2a5a4a3a2b2a1b1,
Campionati Italiani,2014/01/01,28,Vecchi Maria Serena,,Privitera Francesco,,A,,f5f6e6f4e3c5c4e7g4f3g5e2d3g3f2f1d1e1g6c1d2h6f7c2h4h3h2e8c3b4d6d7c8c7d8g7f8h5b8c6b3a3b6h1b5a6a4a5g1g2h8g8h7a8a7b7b2b1a1a2,
Campionati Italiani,2014/01/01,29,Privitera Francesco,,Pantani Antonio,,A,,f5d6c4f3f4d3c3b3c6b6b4f6g5h4d2a4e3c2a3a2g4d1c5h5c7c8h3h2g3d7g6h6e2f2f1e6b5a5b1c1e1g2d8e8e7f8g1f7h1b7b8a8a7a6a1b2g7h7g8h8,
Campionati Italiani,2014/01/01,30,Pantani Ennio,,Privitera Francesco,,A,,f5f6e6f4c3c4d3d6f3e3c5c6f2e2d2g3c7c2g4d1h3g5e1c1b1h4h6h5d7b4g6g1a4e7e8b5b6b3f7c8d8a3a5g2f1a1b2a2b7f8h2h1g7h8g8h7b8a6a8a7,
Championnat d'Argentine,2014/01/01,1,Pellizzari Maximili,,Vazquez German,,A,,f5d6c3f4f6c4e3f3d3d2c6e6c5b5c7d7e2g5b4e1e7b6a5c2a4f7g6e8d8f8h4c8f2g4d1g3h3g2h5a7b3a2a3a6b7a8b8c1h1h2g1g7h8h6h7g8b1f1b2a1,
Championnat d'Argentine,2014/01/01,2,Olivares Daniel,,Coello Alejandro,,A,,f5d6c5f4e3c6d3f3g4e2d2g6g3f2e6f7g5f6f1e1d1b5f8h5e7d7c8e8h4h3d8c4h6h7c3h2g1c2a5c7g8b4a4a3a2b6a6b7a8c1b1b2b8a7a1b3g2h1g7h8,
Championnat d'Argentine,2014/01/01,3,Coello Alejandro,,Vazquez German,,A,,f5d6c5f4e3d3f3e2c6b5c4c3f2b4d7e7b6g6c2d2a5g5e6g4a4d8h5f6h4b3c7d1f1e1g3a3a2a6a7h6h7h2c1c8g7g2f7b2h1h8g1h3g8f8b7b8b1a8e8a1,
Championnat d'Argentine,2014/01/01,4,Pellizzari Maximili,,Olivares Daniel,,A,,f5d6c3d3c4f4c5b4e3e6b5g4g6f6b3b6d7e7e8a4c7f7c6f8a6d8g3c8h4h6g5h5h7f3a5a7g7h3e2f1d1a3c2c1b1g2f2e1h1a1b7d2a2b2a8h8g8b8h2g1,
Championnat d'Argentine,2014/01/01,5,Pellizzari Maximili,,Lisnovsky Marcelo,,A,,f5d6c3d3c4f4f6f3e6e7f7c5b6g5e3d7c6b5g4h3g3b4h5e2f2d2f8d8c7a6e1h4h2d1c1c2b1f1g1c8a3e8a5g8b7a8a7b3a4b2a1a2b8g2h1g6h6h7g7h8,
Championnat d'Argentine,2014/01/01,6,Olivares Daniel,,Vazquez German,,A,,f5d6c5f4e3c4e6f7c6f6d3b5d7e7e8f8b6b4a5c3g5d8c8b8c7a4a6b3b7d2e2g3g6f3g4h4g8h8c2g7f2e1h7a7f1a8h3h5h6d1a3a2c1g2h2h1g1b2a1b1,
Championnat d'Argentine,2014/01/01,7,Lisnovsky Marcelo,,Olivares Daniel,,A,,f5d6c3d3c4f4c5b4b5d2e3c6b6e6a3a5c2c1a4a6a7b3c7c8e1f2e7b2d7d8e8f8f3f7f6g4f1d1e2g6a1a2b1a8g3h3h5h4h2g5h6g2h1g1g8h8b8b7g7h7,
Championnat d'Espagne,2014/01/01,1,Moreno Borja,,Budino Ricardo,,A,,f5f6e6f4e3d6g4f3g3d2d3e2c4c5e7g5c3f7f2h3c7d8b4c6e8c8d7f8b6f1c1a5a6a7b5d1c2a4a3a2b3h4g6h5h7h6h2b1e1g2a1b2g1h1b7b8a8g7h8g8,
Championnat d'Espagne,2014/01/01,2,Budino Ricardo,,Moreno Borja,,A,,f5d6c3d3c4f4c6e3d2c5d7b4b3c2d1e6f7b5a4a6a3a5a7b6g4c7e7f3f6e1f1g3c8c1b1e2g5h4h5h6g6h7h2g7b7f8g8h8h3f2h1g2g1b2e8d8b8a1a2a8,
Championnat d'Espagne,2014/01/01,3,Moreno Borja,,Martin Javier,,A,,f5d6c3d3c4f4f6g5f3e3e6c5g4b5b4c2c7d7c8b3c6d8e2d2g3e1a5b6e8e7g6f2b8h6h5h3a6h4a4a7a8b7f7f8g2f1h1g1a3a2a1b2b1c1d1h2h7g7g8h8,
Championnat d'Espagne,2014/01/01,4,Martin Javier,,Moreno Borja,,A,,f5d6c5f4e3c6d3f6e6d7e7c7c4f8b6b5a6b3c8d8e8b8b4f3g6g5h5g4h4c3c2g3a3d2d1e2f1a4a5e1g7f7f2h3h2g2h1g1g8h8h7h6b7a8a7a2b2a1b1c1,
Championnat d'Espagne,2014/01/01,5,Budino Ricardo,,Martin Javier,,A,,f5d6c3d3c4f4f6g5e6c5g6e3b5c6f2f3d2d1c2b6e1a5d7c7c1f1e2b1c8e8d8f7h5h6h7e7h4b8a4a3g8b7g4h3h2g3a6a7b4b3b2f8a8a1a2g7h8g2g1,
Championnat d'Espagne,2014/01/01,6,Martin Javier,,Budino Ricardo,,A,,f5f6e6f4g6e7d6g5e8c5c4b4b5f7h4h6a3c6e3d3h5h3f3a5c2a4c3a2d7g4b3c7g7c1a6a7b6c8d8h7g3h8g8f8d1b2b1a1d2e1e2f1f2g2h1b8b7g1h2a8,
Championnat de Belgique,2014/01/01,1,Helmes Sido,,de Graaf Jan C.,,A,,f5d6c3d3c4f4f6g5e6c5f3b5b3g3g4e3f2c6d2b4c2f7e7f8h6h5d8e8a4g6h3h7g8d7c8a3a2h4h8g7c7b6a7e2d1c1b1b7b2a1a8b8a5a6e1f1g1g2h1h2,
Championnat de Belgique,2014/01/01,2,Schotte Tom,,de Graaf Jan C.,,A,,f5d6c3d3c4f4f6g5e3f7c6c5d7e7e6c8g3f3g4e2e8b6h6d8b8h5f2d2c7h7a6b5c1b3d1e1h4h3a5f1b4g6a2b1g2a7a8b7h2h1c2a4g1f8a1b2g7g8a3h8,
Championnat de Belgique,2014/01/01,3,Schotte Tom,,May Michael,,A,,f5d6c3f4f6g5e6f3c4c5e3d2g6d3c2b4c7e2h5d7c8e7b5c6b6d8e8a5a3f7d1a4e1f8g8a2a6a7g3g4h3f2f1c1b1b7b3h2h4b2a8b8a1h6h7h8g7g1g2h1,
