tournamentName,tournamentDate,gameNumber,blackPlayerName,blackPlayerRank,whitePlayerName,whitePlayerRank,result,resultDetail,transcript,comment
Australian National,2005/01/01,1,Vinar Matt,,Lindholt Jonas,,A,,f5d6c5f4e3c6f3g6e6f6d7b5e7c3d3c7b3e2b4g5g4c4f7a4f2d2g3h4h6f1h5h3a5a3b6a6c8h7e1a7c1d1g1g7g2d8a2a1e8f8b7c2b2b1h8g8h2h1a8b8,
Australian National,2005/01/01,2,Low Gene,,Lindholt Jonas,,A,,f5d6c4d3c3f4c5b3c2e6b5f3a3g4e3e2f1d1f2d2g3b6c6a5a4b4e1g1d7a2f7d8c7g5c8b8f6c1h3h5h6h4b2e8a7e7g7f8g6b7g2h1h2g8h8h7a8a1a6b1,
Australian National,2005/01/01,3,Vinar Matt,,Ortiz Georges,,A,,f5d6c4d3c3f4e6f6e3c5c6b6c7b5d7e7g3d8c8e8f8f7a4b3a5d2a3b4g4f2c2g5d1f3e2h3e1f1g1b1g2a6b7a2g8b2h5h6g7g6h4a7c1h1h2a8b8h8h7a1,
Australian National,2005/01/01,4,Low Gene,,Vinar Matt,,A,,f5d6c4d3c3f4f6f3e6e7f7c5b6g5c6d7f8e8d8b5e3c7g4c2a4a5g3a3c8h4h6h5h3g6h7g7b4b3a7d2f2f1e1d1e2a6a2b7b1g1b8a8c1a1b2g8h8h2g2h1,
Australian National,2005/01/01,5,Lindholt Jonas,,Vinar Matt,,A,,f5d6c3d3c4f4e3f3g4e2d2g5g3f2f1c5h6b4g6f6e1h4e6d7e7f8e8h3a4f7h5h7c8d8g8g2c7c6b5b7b6a6a5a3b8g1h1h2h8a7g7a8b3a2b2b1a1c1d1c2,
Australian National,2005/01/01,6,Vinar Matt,,Cairns Phil,,A,,f5d6c5f4e3d3e6g5c4c3d2f6c2b5c6b6a5f3g3b3b4a3g4e2f1d1a4e1c1f2h6h3h5a6g1b2g6h4h2g2f7f8e8g8e7g7h8c7h7d7d8c8a1a2h1b1a7b7b8a8,
Australian National,2005/01/01,7,Cairns Phil,,Duffy Norm,,A,,f5f6e6f4e3d3f3c5c4b4c3e7b3e2g4g5f2d2e1c2b6d6c6b5d1c1h6c7a4a3a6g3a5f1a2h3h4g6h2b2h7g2h5g7e8d7a1f7b1a7g1h1a8h8g8f8d8b7b8c8,
Australian National,2005/01/01,8,Dixon Nicole,,Vinar Matt,,A,,f5d6c5f4f3g4d3e3f2g5e6f6h4e2g6h3e7g3d2f1h5h6g1h1h2c4c2g2b4c1e1d1h7h8g7f7g8b2b1f8b3d8e8a1c8c3a2c6a4a3a5a6b5c7b7a8b6a7d7b8,
Australian National,2005/01/01,9,Ortiz Georges,,Cairns Nathan,,A,,f5f6e6f4e3d2g5h4h5h6e2f2e1d6f3g3h3h2g4d3f1g6f7e7g7e8f8d1d8g1d7c8b8h8h7g8h1a8c6c7b7b6c5c4g2c2b3c1c3a3b2a1a2b1a4b4b5a5a6a7,
Australian National,2005/01/01,10,Lindholt Jonas,,Cairns Phil,,A,,f5d6c3d3c4f3f4g5e3e2d2g4f1c2g3e1d1c1b1b5f2h3b4a5b3a3e6d7a6b6a4a7b2c5c6a1a2g1g2c7c8b7b8h2a8e8d8e7f6h1f8f7g6g8g7h8h7h6h5h4,
Australian National,2005/01/01,11,Cairns Nathan,,Ganeshkumar Ganesh,,A,,f5f4e3d6c4f3f6e6c5g4d7f7g8d2e2c7g3c3h4f8e8c8c1d3e7e1g6f1c6f2b3h2g5h6h5h3g2a2b4h1g1h7a3a4b5c2d1b1b8d8b6a7a5a6b7a8b2a1g7h8,
