tournamentName,tournamentDate,gameNumber,blackPlayerName,blackPlayerRank,whitePlayerName,whitePlayerRank,result,resultDetail,transcript,comment
Airplane games,2013/01/01,1,Hand David,,Odegard Martin,,A,,f5d6c3d3c4f4f6g5e6c5f3f7e7f8e3g6b6g4c6g3h3f2h5h4e2b5d7b4h6e8c8d8g8g2a5a3a4b3a2e1d2a7d1c1h1h2g1f1b1g7h8h7a6a1c7b7a8b8c2b2,
Airplane games,2013/01/01,2,Odegard Martin,,Hand David,,A,,f5d6c3d3c4f4f6g5e6c5f3b5e3g4h4h5h6g3g6e7f2f7b4f1e2c2b3d2d7c7c6a4g7b6d1h3c1e1b2b1g8f8e8d8a2b7a6a3a5a7a8h8h7b8g1h1c8g2a1h2,
Airplane games,2013/01/01,3,Odegard Martin,,Beck David,,A,,f5f6e6f4g6c6g5d6f3e7c5g3f7h5c3d7e3f2e8d8c8f8g8h6g4c4e2c7h3c2h4d3h7g2b8b7d2f1d1c1a8b5b6a6a4a5a7b4a3b3h1h2g1e1a2b2g7h8b1a1,
Airplane games,2013/01/01,4,Odegard Martin,,Sosnowski Mateusz,,A,,f5d6c3f4f6d3f3b3c7d7e7d8c6b5c5g4g3e6f7e8f8g8h4c4g5b4e3e2d2g6a6f2c2h6h5a4c8b8a3a2b7h3a5b1a1a8b2b6c1d1f1e1h7h8g7g1h1a7g2h2,
Airplane games,2013/01/01,5,Beck David,,Hand David,,A,,f5d6c5f4e3c6e6f7d7c7f6e7b6b5e8g6f8g4c8c4b3d3d8a6a4a5b4a3d2a2c3e2h5d1g5c2b2b7h3h4g3f2f3h6g7b8a8a1a7h8h7g8f1g2h2h1b1c1g1e1,
Airplane games,2013/01/01,6,Stenberg Veronica,,Hand David,,A,,f5d6c3d3c4f4c5b4b3d2c2c1a4e3e2f3e1e6b5c6d1f1g4a6b2a1b1a2a5a3e7g3f2g2h2h3h4b6c7b8b7a8d7a7h1g1c8d8e8f8f7h5h6g5g6h7h8g8g7f6,
Airplane games,2013/01/01,7,Odsell Caroline,,Beck David,,A,,f5d6c3f4f6d3c4g5e6c5f3e3g4b5e2f7e7b3d2d1h6f8d8d7c7g6c8c6e8b8b4a5b6e1f2a6b7h4c1c2f1a8h3h5g3h2h1g1a4g2b2a3a2a1b1g8h8a7g7h7,
Airplane games,2013/01/01,8,Beck David,,Sosnowski Mateusz,,A,,f5d6c5f4e3c4e6c6d3f3g4f7e2d2c3b4e7f6g5e8f8g8c7d7c8g6b3c2d8b8c1a3h6e1d1b1f2h4h3h2h5h7g3f1g2h1g1a1a2b2a4a5b5b6a6a7b7a8h8g7,
Antwerpen Open,2013/01/01,1,Helmes Sido,,Hobo Roel,,A,,f5d6c3d3c4f4f6f3e6e7c6g6g5h6d8c5b4b5e3f7a4a6g4h3h5h4d7a3a2b6g3c8f8e8b8h2c7c2d2c1e2d1f1b3g8b7a8f2b2g7h8h7g1e1h1a1b1a5a7g2,
Antwerpen Open,2013/01/01,2,Peperkamp Marcel,,Hobo Roel,,A,,f5d6c3d3c4f4f6f3e6e7d7g6f8c5b4f7h6e8d8c6b5b6e3c7a6a3g5a4c8h4g4g3f2h5h3b3h7g7h8g8a5a7a2a1b7a8b8b2c2c1b1d1e1f1e2h2h1d2g2g1,
