tournamentName,tournamentDate,gameNumber,blackPlayerName,blackPlayerRank,whitePlayerName,whitePlayerRank,result,resultDetail,transcript,comment
Antwerpen Open,2007/01/01,1,de Graaf Jan C.,,Schotte Tom,,A,,f5f6e6f4e3d7d3d6e7d8g4f3g5g3f7c5e8e2d2c4c2f2c3b3d1c1c7f1e1g2h3h5h1g1c8g7c6b6h8g6h7h6h2g8f8b7h4a7a8b8a6a5a4b5b4a2a3b1a1b2,
Antwerpen Open,2007/01/01,2,Hobo Roel,,de Graaf Jan C.,,A,,f5d6c3d3c4f4c5b3c2e3d2c6b4b5f2e2f3c1a3a4a5d1f1g6e1e6b1a6f6a2h6g5h5g4g3h3b7d7c7b6a7a8b8f7g7g1h1h8h2h7g2h4e7c8d8e8g8f8b2a1,
Antwerpen Open,2007/01/01,3,Reunes Nick,,de Graaf Jan C.,,A,,f5d6c5f4e3c6d3e2f3g6e6f6g5h4h6b5f7e7c4f8d7e8c8b3b6c3a5b4c7c2g4d8g8h3a4a3d2d1f1e1f2g1b1a7a6g2g3h2h5h7h1b8h8c1g7b7a8a1b2a2,
Antwerpen Open,2007/01/01,4,de Graaf Jan C.,,May Michael,,A,,f5d6c3d3c4f4e6f6e3c5c6b5d7e7b6c7a6a5d8e8g3c8b4a7g5g4h4f3e2a4f7h5a3a2b3f8h6h2g7g6h3h8h1d2f2g1e1f1d1g2c1c2b7b8h7b1a1g8a8b2,
Antwerpen Open,2007/01/01,5,Helmes Sido,,Hobo Roel,,A,,f5f6e6f4g6c5g4g5f3e3c4g3h5f7e7d3c2b4f2h6h7c3d2f1h4h3h2e2d1d6f8b1e1c1d7d8c7g1c6c8b6a5a6a7b5e8a3b7a8b8a4g7b2b3a2a1g8h8g2h1,
Antwerpen Open,2007/01/01,6,Fransen Martin,,Schotte Tom,,A,,f5f6e6f4e3d7d3d6e7d8g3c5c4f3b5c6c7f7f2g4h4e2c8c2d1e1f1g5e8d2b3b4a3a4a5a6a7b6b7f8g8h2g6h6h5h3c1g7c3b2b1a1a2a8h8b8h7g2h1g1,
Antwerpen Open,2007/01/01,7,Hobo Roel,,Roerade Jeroen,,A,,f5d6c4d3c3f4e3f3g4g3g5f6g6e2d2h4h5e6c5c6e1b5f2h6a6f1b6a4g1b4h3h2a5a7b3c1d1h1g2c2a2b2a1b1c7e7a3b7f8b8c8e8f7g8d8d7h8g7a8h7,
Antwerpen Open,2007/01/01,8,Hobo Roel,,Reunes Nick,,A,,f5d6c3d3c4f4c5b3c2e3d2c6b4a3g3g4b5a4f2f3a6e1h3h5d1g6f1e6h4e2h6g5f7b6a7b1d7f6c7d8e8a5c1b2c8a8e7f8g7b7a1b8a2g8g2h1g1h2h7h8,
Antwerpen Open,2007/01/01,9,de Boer Rosalinde,,Hobo Roel,,A,,f5f6e6f4e3c5c4d6d7c6e7f3g6f7d3g5e8c8h4e2g4h3d2h5h6h7e1g3d8f8b6c7g7a6f2b5b7h8g8a7a5a4a8b8a3b4b3c3c2c1g2h1h2d1b1g1f1a1a2b2,
Antwerpen Open,2007/01/01,10,Darck Nancy,,Hobo Roel,,A,,f5d6c5f4d3e3g4g5e6c4e2d2f3e7f2c3b4e1f6b3h6a4c7d7c6f7a3b5f1c8c1g1a6a2d8e8b6g6f8g8b7h3h5a8b8g7b2g2g3h2h1h4d1a1c2b1h8h7a5a7,
Antwerpen Open,2007/01/01,11,Volvert Laurent,,Hobo Roel,,A,,f5d6c5f4d7f6d3c6b6c3e3c4g5g6e7f7f8e6h5b5a4h6h7g3b4c8e8f2c2d2e1d1c1c7f3d8e2g8f1h4h3g4g7a5a7a6b7b8a8a3b3h8b2a2g2h2a1b1g1h1,
Antwerpen Open,2007/01/01,12,Dolezal Vladislav,,Reunes Nick,,A,,f5d6c4d3c3f4f6f3e6e7d7c5b6b5e3d8c7g4e8f8c6b4c8b8a4g5f7g8g6a6h5c2a3b3a5a2b7f2d2d1c1e1f1e2h3g7b2a1b1a8a7g1h8h4g3h2h1g2h6h7,
Bergen Open,2007/01/01,1,Albrigtsen Vidar,,Odegard Martin,,A,,f5d6c3f4f6d3c4f3e6e7f7c5b6g6g5c6e8a6d7c7h5e3b5b3c8d8f8g4h3h4d2c2c1a5b4a4g7h6h7h8g8h2f2e1d1b1g3e2a2a3a7b7a8b8f1g1g2h1b2a1,
Bergen Open,2007/01/01,2,Odegard Martin,,Berg Robert,,A,,f5f6e6f4e3c5g6g5f3g4d3d7h6g3h3h5h4f7e7c2c4d6f8c3c6b5b6f2a5d2c8d8e8b4c7g7f1g8a4b3e2a3a2e1b1a7d1c1b2b8h8b7a8a1a6g1g2h2h1h7,
Bergen Open,2007/01/01,3,Odegard Martin,,Albrigtsen Vidar,,A,,f5f6e6f4e3d3f3c5g5g4f7d7e7g6h3e8h6h4f8h5d8d6c3c2c1b3a4g2g3d2e2e1c4b4d1c6a5a2a3a6c8c7b8b7b5f1a8b1b6b2f2g1h1h2a1a7g7h8g8h7,
British Nationals,2007/01/01,1,Leader Imre,,Brightwell Graham,,A,,f5d6c3d3c4f4f6f3e6e7d7g6f8f7g5h6h4g4h3g3h5h2d2c5c6b4e3c2f2d1a3e1f1e2b3c8d8e8b8g1g8b5a4a6c1b1a5a2g2c7b6b7a8a7b2a1g7h8h7h1,
British Nationals,2007/01/01,2,Brightwell Graham,,Leader Imre,,A,,f5d6c3d3c4f4f6f3e6e7d7g6f8f7g5g4h3h4h5h6h7c5b4c8d8c6g3b5a5a3a4e3a2c7b8h2h1g7c2b3b6d1c1b1d2e2f2b2e1f1a1b7g1g2a8a7a6h8g8e8,
British Nationals,2007/01/01,3,Beck David,,Leader Imre,,A,,f5d6c4d3c5f4e2d2e3c3f3f1e6g6c2d7f7e7h5g5f6h6h7c6e8g4h4g3c1b4h3d1a4f2b6c7d8c8b8a3a5b5b3a6b7a8a7f8g8h8g7g2h1g1h2e1b2a1a2b1,
British Nationals,2007/01/01,4,Leader Imre,,Hubbard Geoff,,A,,f5d6c5f4e3c6d3f6e6d7g4c4g5c3f7d2e7f2c8f3c7d8e2b8f1g6c1g8f8e8c2d1e1h5b3h3b4g3b6b5a6a4a3a5b2g2g1b1a1a2h4h6g7h8h7h2h1a7a8b7,
British Nationals,2007/01/01,5,Dyer Jeremy,,Leader Imre,,A,,f5d6c3d3c4f4f6f3e6e7d7g6f8f7g5g4d2d8e3c8h5c7h4h3h2g3g8e8b8e2c6h6h7c5f1e1d1c2b5c1b1g2h1g1f2a1b3a2a4b2b4a3b6a7a6a5g7h8a8b7,
British Nationals,2007/01/01,6,Pridmore Ben,,Leader Imre,,A,,f5d6c3d3c4f4c5b4b5c6e3c2b6a5d7a6b3e7c7a4c1d8c8e6f8e8f6f7g3g4h3g5h6e2d2f3a2e1g6g7f1a3a7d1f2h7h8g8b7a8b8a1b1h5b2h4g1h1h2g2,
British Nationals,2007/01/01,7,Leader Imre,,Barrass Iain,,A,,f5d6c3d3c4f4f6f3e6e7d7g6f8c5c6b4g5h6h4g4d2e2e3b5g3f7f2e8h5h3b6g8a3c1a4b3d1c2b1f1e1a1g2h1h2a5a6g1g7c7c8a7a8b8d8b7h8h7a2b2,
British Nationals,2007/01/01,8,Leader Imre,,Turner Ian,,A,,f5d6c3f4f6f3d3c4e3e2g4f2d2e6c2g3g5h4e7b3c7e1c1d1c6h6f1g6h5d7f7h3e8g7b4c5b5g8f8d8c8a3b1a4b6b8b7a7a6a5a8g2h1g1h2a1h8h7b2a2,
British Nationals,2007/01/01,9,Leader Imre,,Arnold Roy,,A,,f5d6c3f3d3f4f6c4e3f2e2b3c6e1e6e7d7c5b5b4c7d8c8a5d2d1c2b8f8b6g4g3h3h5c1b1h4h2g5h6g6h7e8g8g2f7f1h1g1b2a1b7a2a3a4a6a7a8h8g7,
British Nationals,2007/01/01,10,Leader Imre,,Stanton Robert,,A,,f5d6c5f4e3c6e6d3c4f3d7b6c3b5b4e7f6e8c8c7a5a3a4a6f8g8b3d2e2g5g6f7c1c2g3g4h6h4h5h7b7f1e1d1f2b1d8g1h3g2h8g7b8a8a7h2h1b2a2a1,
British Nationals,2007/01/01,11,Brightwell Graham,,Beck David,,A,,f5f6e6f4e3d6g5d3c3g3g6f3e7h5h4h3g4e2c4c5f2d2d1f1b6e1g1d7f7h6g7d8e8h8c2c1b1b5a6g2c6f8h1h2h7c8c7b8b7a8a7a4b4a3a5g8a2b3b2a1,
British Nationals,2007/01/01,12,Handel Michael,,Brightwell Graham,,A,,f5d6c4d3c5f4e2d2e3f3e6c6d7c3g5g4f2f1g3h4h5g6f6h6e1h3g1c7b6a5a6b5c8a7b3f7d1c2b4c1b1a4g2b2f8g7a3a1a2h2h8h1h7e7a8g8b7d8e8b8,
British Nationals,2007/01/01,13,Hubbard Geoff,,Brightwell Graham,,A,,f5d6c3d3c4f4f6f3e6e7d7g6f8f7g5h6h4e8d8c5c6b4d2b5e3b6c7e2e1b3f2g3g4c1h3g1f1d1g8h5h7b8g7h8c8h2a8b7a7a6a5a4a3g2h1a2b2b1a1c2,
British Nationals,2007/01/01,14,Brightwell Graham,,Hand David,,A,,f5d6c3d3c4f4f6g5c6c5e3b4b5b3b6e7a4a3a5f2c2c7a2a7c8d2e6d7f8b8e1e8e2d1c1d8f3g8f1g2h1g4g1b7g3h2h3h4g6b2h5h7a6a1a8h6h8g7f7b1,
British Nationals,2007/01/01,15,Brightwell Graham,,Dyer Jeremy,,A,,f5d6c3d3c4f4f6f3e6e7d7g6f8f7g5h6h4e8d8c5c6b4d2b5b6e2e3h5h7g4f1f2h3g3h2b3c2c1g1c8e1g8a6c7a5d1b1a3a4a7g7b2a1a2b7a8b8g2h8h1,
British Nationals,2007/01/01,16,Pridmore Ben,,Brightwell Graham,,A,,f5d6c3d3c4f4e6f6e3c5c6b6c7b5d7e7f7e8d8f8b4f3g8a3g6f2e2e1g3g5h6h5d1g4f1b3h4h2a4a5h3h7a7c8b8a6a2g2b7a8h8g7a1b2c2c1b1d2g1,
British Nationals,2007/01/01,17,Brightwell Graham,,Barrass Iain,,A,,f5d6c3d3c4f4f6f3e6e7d7g6f8f7g5h6h4g4h3h5h7c5b4e8d8b3g3c6e3a4c7e2f2f1b5d2c2a6c1b6a3d1g8a5b2a2a1b1a7b7a8c8b8g7h8g1h1e1g2h2,
British Nationals,2007/01/01,18,Arnold Roy,,Brightwell Graham,,A,,f5d6c5f4e3c6e6f7f3b5d7e7c7f6b6d8c8e8a5c4d3a6a7b3b4c3d2a3g6c2f8e1c1b2a1b1a2a4b7a8h6h5b8h7g8g5g4g3e2d1f2f1g2h2h4h3h1g1h8g7,
